,MONTH,PORTFOLIO
315,4.2005,239311.1411486472
316,5.2005,256036.37898525468
317,6.2005,263520.4766051694
318,7.2005,272858.7230690459
319,8.2005,272753.6217529315
320,9.2005,283612.8812836198
321,10.2005,277405.25130641414
322,11.2005,292961.4000537829
323,12.2005,298918.0839873296
324,1.2006,304174.9244341115
325,2.2006,310115.41458723875
326,3.2006,311139.87961922254
327,4.2006,309726.9651781357
328,5.2006,291742.81018935575
329,6.2006,295401.97213784594
330,7.2006,296191.44607198145
331,8.2006,302071.65050623496
332,9.2006,310451.5397270803
333,10.2006,321089.8586221992
334,11.2006,316621.02521964506
335,12.2006,323966.7845248835
336,1.2007,333420.40089177195
337,2.2007,325476.78408694465
338,3.2007,328963.17664400017
339,4.2007,336398.3613303754
340,5.2007,349877.11479199963
341,6.2007,346066.2581344131
342,7.2007,333678.8255963192
343,8.2007,333682.23207102116
344,9.2007,338052.0340871175
345,10.2007,342145.46890113567
346,11.2007,321483.2357254961
347,12.2007,318420.2660036538
348,1.2008,291483.50668751355
349,2.2008,284367.7911352655
350,3.2008,270438.6112779988
351,4.2008,289722.4570170084
352,5.2008,294921.92852578196
353,6.2008,267350.5072380146
354,7.2008,263601.39366637456
355,8.2008,275478.9395281995
356,9.2008,250400.379015893
357,10.2008,227870.4302958861
358,11.2008,213928.42873819335
359,12.2008,202206.94579458353
360,1.2009,200557.51086445258
361,2.2009,182828.54717766008
362,3.2009,186969.21765463546
363,4.2009,208467.7575004807
364,5.2009,214238.7702682285
365,6.2009,212941.13280910693
366,7.2009,230969.48986425536
367,8.2009,238387.23493386016
368,9.2009,241785.78593324733
369,10.2009,235212.7800685949
370,11.2009,241347.24707595326
371,12.2009,256299.38203502193
372,1.201,253666.31146194678
373,2.201,264874.9690345036
374,3.201,283260.43132301164
375,4.201,286968.57159781636
376,5.201,280970.35800518095
377,6.201,272386.9730204006
378,7.201,277528.87269033137
379,8.201,274718.6006560487
380,9.201,279206.6978391301
381,10.201,285409.2813219523
382,11.201,297828.3159168966
383,12.201,311140.4958321432
384,1.2011,310705.09484459826
385,2.2011,318441.0094337135
386,3.2011,307284.7043784096
387,4.2011,306468.0829096751
388,5.2011,310200.1684016423
389,6.2011,304092.11764911684
390,7.2011,302827.857974714
391,8.2011,278134.0731718992
392,9.2011,272171.92301004217
393,10.2011,289730.54122836946
394,11.2011,295106.49911982747
395,12.2011,305997.70081426646
396,1.2012,315718.7100189228
397,2.2012,324715.19266118
398,3.2012,331198.2667657615
399,4.2012,331157.3757424539
400,5.2012,322601.81275045854
401,6.2012,334142.34335900063
402,7.2012,347001.6470493815
403,8.2012,346775.3870186851
404,9.2012,347708.50971891306
405,10.2012,343904.9643720272
406,11.2012,348672.9698348602
407,12.2012,349825.46126223064
408,1.2013,358145.0196278708
