,MONTH,MSCI World
205,2.1996,132339.29168699737
206,3.1996,134628.2422018214
207,4.1996,139140.9558362704
208,5.1996,141122.34233162526
209,6.1996,140907.92863980823
210,7.1996,134034.8506542485
211,8.1996,134518.76508833145
212,9.1996,141169.07608943112
213,10.1996,142768.73192813335
214,11.1996,149006.42296364467
215,12.1996,150036.59504977163
216,1.1997,156145.91643215856
217,2.1997,164992.59144993508
218,3.1997,163775.10935285166
219,4.1997,170217.2422935953
220,5.1997,180339.33886807036
221,6.1997,191629.67353786094
222,7.1997,206200.6751366743
223,8.1997,198061.5338740757
224,9.1997,203512.30815387747
225,10.1997,189469.4296049877
226,11.1997,189022.42471654085
227,12.1997,196655.76280295936
228,1.1998,206952.14545634043
229,2.1998,220631.03659936963
230,3.1998,230961.00704333643
231,4.1998,231804.15693496176
232,5.1998,225578.70254694347
233,6.1998,232774.8316157926
234,7.1998,233116.5609967279
235,8.1998,201371.14304855047
236,9.1998,195539.02160354162
237,10.1998,205506.91497612174
238,11.1998,224195.28014837948
239,12.1998,233814.29355580325
240,1.1999,246906.7611286973
241,2.1999,248486.1463470837
242,3.1999,265645.2251447589
243,4.1999,280057.6758574913
244,5.1999,273624.42186261876
245,6.1999,290097.14759183454
246,7.1999,279490.3658207862
247,8.1999,282347.9840026052
248,9.1999,277360.13216774695
249,10.1999,297856.08713310334
250,11.1999,317192.774508609
251,12.1999,344767.8393655308
252,1.2,333648.59853886435
253,2.2,337359.9680353988
254,3.2,366913.8903292315
255,4.2,369657.5198514976
256,5.2,352012.91696789506
257,6.2,354389.905294835
258,7.2,356232.64073324285
259,8.2,381892.7555796554
260,9.2,367557.67668831523
261,10.2,376494.36044622364
262,11.2,342917.5005793655
263,12.2,325366.0841548112
264,1.2001,332259.7667934165
265,2.2001,305823.0106692837
266,3.2001,299340.4218276673
267,4.2001,320012.7899078485
268,5.2001,330792.0133644014
269,6.2001,320581.3503880823
270,7.2001,306561.2889660786
271,8.2001,279160.6432547577
272,9.2001,255477.53255268696
273,10.2001,263118.5634374863
274,11.2001,283354.13784483523
275,12.2001,288056.53264458553
276,1.2002,285191.8236928899
277,2.2002,282426.0301090156
278,3.2002,292599.52937078977
